token_text,ent_iob
Monty,O
Python,O
and,O
the,O
Holy,O
Grail,O
is,O
a,O
1975,O
British,O
comedy,O
film,O
concerning,O
the,O
Arthurian,O
legend,O
",",O
written,O
and,O
performed,O
by,O
the,O
Monty,O
Python,O
comedy,O
group,O
of,O
Graham,B
Chapman,I
",",O
John,B
Cleese,I
",",O
Terry,B
Gilliam,I
",",O
Eric,B
Idle,I
",",O
Terry,B
Jones,I
and,O
Michael,B
Palin,I
",",O
and,O
directed,O
by,O
Gilliam,B
and,O
Jones,B
.,O
It,O
was,O
conceived,O
during,O
the,O
hiatus,O
between,O
the,O
third,O
and,O
fourth,O
series,O
of,O
their,O
BBC,O
television,O
series,O
Monty,O
Python,O
's,O
Flying,O
Circus,O
.,O
"

",O
While,O
the,O
group,O
's,O
first,O
film,O
",",O
And,O
Now,O
for,O
Something,O
Completely,O
Different,O
",",O
was,O
a,O
compilation,O
of,O
sketches,O
from,O
the,O
first,O
two,O
television,O
series,O
",",O
Holy,O
Grail,O
is,O
a,O
new,O
story,O
that,O
parodies,O
the,O
legend,O
of,O
King,B
Arthur,I
's,O
quest,O
for,O
the,O
Holy,O
Grail,O
.,O
Thirty,O
years,O
later,O
",",O
Idle,B
used,O
the,O
film,O
as,O
the,O
basis,O
for,O
the,O
musical,O
Spamalot,O
.,O
"

",O
Monty,O
Python,O
and,O
the,O
Holy,O
Grail,O
grossed,O
more,O
than,O
any,O
other,O
British,O
film,O
exhibited,O
in,O
the,O
US,O
in,O
2005,O
.,O
In,O
the,O
US,O
",",O
it,O
was,O
selected,O
as,O
the,O
second,O
-,O
best,O
comedy,O
of,O
all,O
time,O
in,O
the,O
ABC,O
special,O
Best,O
in,O
Film,O
:,O
The,O
Greatest,O
Movies,O
of,O
Our,O
Time,O
.,O
In,O
the,O
UK,O
",",O
readers,O
of,O
Total,O
Film,O
magazine,O
in,O
2000,O
ranked,O
it,O
the,O
fifth,O
-,O
greatest,O
comedy,O
film,O
of,O
all,O
time;[4,O
],O
a,O
similar,O
poll,O
of,O
Channel,O
4,O
viewers,O
in,O
2006,O
placed,O
it,O
sixth.[5,O
],O
"

",O
In,O
AD,O
932,O
",",O
King,B
Arthur,I
and,O
his,O
squire,O
",",O
Patsy,B
",",O
travel,O
throughout,O
Britain,O
searching,O
for,O
men,O
to,O
join,O
the,O
Knights,O
of,O
the,O
Round,O
Table,O
.,O
Along,O
the,O
way,O
",",O
he,O
recruits,O
Sir,B
Bedevere,I
the,I
Wise,I
",",O
Sir,B
Lancelot,I
the,I
Brave,I
",",O
Sir,B
Galahad,I
the,I
Pure,I
",",O
Sir,B
Robin,I
the,I
Not,I
-,I
Quite,I
-,I
So,I
-,I
Brave,I
-,I
as,I
-,I
Sir,I
-,I
Lancelot,I
",",O
and,O
Sir,B
Not,I
-,I
Appearing,I
-,I
in,I
-,I
this,I
-,I
Film,I
",",O
along,O
with,O
their,O
squires,O
and,O
Robin,B
's,O
troubadours,O
.,O
Arthur,B
leads,O
the,O
men,O
to,O
Camelot,O
",",O
but,O
upon,O
further,O
consideration,O
(,O
thanks,O
to,O
a,O
musical,O
number,O
),O
he,O
decides,O
not,O
to,O
go,O
there,O
because,O
it,O
is,O
"""",O
a,O
silly,O
place,O
"""",O
.,O
As,O
they,O
turn,O
away,O
",",O
God,O
(,O
an,O
image,O
of,O
W.,B
G.,I
Grace,I
),O
speaks,O
to,O
them,O
and,O
gives,O
Arthur,B
the,O
task,O
of,O
finding,O
the,O
Holy,O
Grail,O
.,O
"

",O
Searching,O
the,O
land,O
for,O
clues,O
to,O
the,O
Grail,O
's,O
location,O
",",O
Arthur,B
and,O
his,O
men,O
come,O
to,O
a,O
castle,O
occupied,O
by,O
rude,O
French,O
soldiers,O
who,O
claim,O
to,O
have,O
the,O
Grail,O
and,O
insult,O
the,O
Englishmen,O
.,O
After,O
being,O
driven,O
back,O
by,O
a,O
shower,O
of,O
catapulted,O
barnyard,O
animals,O
",",O
Bedevere,B
comes,O
up,O
with,O
a,O
plan,O
to,O
sneak,O
in,O
using,O
a,O
Trojan,O
Rabbit,O
",",O
