,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 05/31/18 18:01 PM (PDT),Juan huerta ,2002 Mercury Grand Marquis Sedan GS Convenience 4dr Sedan (4.6L 8cyl 4A),Love the big merc !!!!!!, Want a good old fashioned American sedan with a bulletproof V8 and a smooth as silk transmission. Then look no further.,5
1, on 03/26/17 13:50 PM (PDT),Jacque Montague ,2002 Mercury Grand Marquis Sedan LS Premium 4dr Sedan (4.6L 8cyl 4A),I see why these are so popular.," I purchased one of these used, from the original owner, the car currently has 125,154 miles on it and still is in excellent shape both cosmetically, and mechanically. This car is very simple to maintain, and everything is simple to use, no fancy things like on modern cars, but isnt completely in the dark ages. Instrumentaion is plenty, and easy to read, stock radio is very good, and cassette deck is still working fine. The leather interior has also held up very well for being 15 years old and has no holes or tears, trunk space is absolutely massive! A perfect summer home rental for tourists! The 4.6L V8 is an excellent motor, and can get out of its own way when asked to, and I personally get about 18.5MPG in town and 26MPG out on the highway on 87 octane. Its been an excellent car, and I can see why they last so long, one of Ford's highest reliability cars/platform! I would recommend one of these to anyone who's looking for a smooth car, with excellent reliability, cheap to service, but still doesnt kill the pocketbook on gas.",5
2, on 02/06/14 07:16 AM (PST),lynn_m ,2002 Mercury Grand Marquis Sedan GS 4dr Sedan (4.6L 8cyl 4A),Biggest Waste of Money ," I bought this car a year and a half ago because of the raving reviews on this site. I spent $7,000 for a 2002 with 70,000 miles on it.Now at 100,000 miles I have to put $2,200.00 into the car. The whole front suspension is shot.Upper and Lower Ball JointsSway Bar LinksIdler and Pitman ArmsI am very disappointed in my investment. Also that car gets horrible horrible gas mileage. Probably 12 miles to the gallon. ",2.25
3, on 11/13/09 11:17 AM (PST),Chappy91 ,2002 Mercury Grand Marquis Sedan LS Ultimate 4dr Sedan (4.6L 8cyl 4A),Pleasantly Surprised," I needed a reliable second car for the family and the dealership had this cream-puff on the lot.  Garage kept, prestine condition.  Have had it two weeks and am enjoying the 45 mile round trip commute to work.  Surprisingly great gas milage, I use premium in the tank.  Smoother than silk ride, corners like a dream.  I definitely feel safe having my family in the car.  I forsee many excellent years in this beauty.  By the way, this is my first Ford...swore I would never own one...previously only owned Japanese or German...making a believer out of me. ",4.875
4, on 08/21/09 02:59 AM (PDT),Lennis ,2002 Mercury Grand Marquis Sedan LS Premium 4dr Sedan (4.6L 8cyl 4A),Wish my Dad could have enjoyed this car," I can't say enough good things about this beautiful car.  I bought mine in February 2009 with only 56,000 miles on it and lots of garage time, so it is immaculate.  What a pleasure to drive.  Mine is the LS with the billboard size digital dashboard readings and all the bells and whistles.  Though it is seven years old, everything works perfectly.  Never and oil leak or a squeek or a squak.  The ride will nearly put ya' to sleep.  My worst MPG is 21.6 mpg and my best is 25.8.  Nuttin' wrong with that.  Love this car, and just wish Daddy could have seen it, as he loved Mercs!  This is my first one after owning Dodges, Buicks, Olds, and Pontiacs.",4.875
5, on 06/12/08 10:45 AM (PDT),A Wayne Carnell ,2002 Mercury Grand Marquis Sedan LS Premium 4dr Sedan (4.6L 8cyl 4A),A Real Car, The rear wheel drive remains appealing to this buyer given the mechanical simplicity of the power train. Proper winter snow tires are essential for driving on snow and ice and where permitted studded tires improve traction immeasurably. I have owned Lincolns through the years and the Marquis is of equal space and ride quality at a significantly lesser price.   ,4.75
6, on 05/04/08 07:29 AM (PDT),Frank ,2002 Mercury Grand Marquis Sedan GS 4dr Sedan (4.6L 8cyl 4A),AAA Excellent Car ," This car handles like a dream. I don't know where some of the people get off giving it a bad review. I am 43 years old and have driven everything from Beetles to Vettes. This is a great car for the money, runs strong and mileage is fine. Especially for a big car. This car looks and runs great.",5
7, on 06/28/07 01:15 AM (PDT),Mephisteles ,2002 Mercury Grand Marquis Sedan LS Premium 4dr Sedan (4.6L 8cyl 4A),Impressive craftsmanship, This beast has given me absolutely no problems since I first purchased it from my uncle. You get what you pay for in this world and this car was worth every penny.,4.875
8, on 05/23/07 17:23 PM (PDT),Roy ,2002 Mercury Grand Marquis Sedan GS 4dr Sedan (4.6L 8cyl 4A),Good Car that Could Be Better," My experience with FoMoCo products is that they are good ideas poorly executed. My Mercury is a case in point.  While perfect for people looking for a traditional RWD sedan that owns the road, this car lacks the solidarity and reliability its predecessors possessed.  It handles well for its size in braking, acceleration, and cornering.  It also is a good ride on the highway.  But don't expect too much from it. The engine has mounds of torque but is noisy when pressed. The engine is a great performer, but you got to go light on the gas unless you (a) can afford speeding tickets and (b) are related to a Saudi prince and have inherited your own private oil well.  ",3.375
9, on 11/09/06 12:03 PM (PST),croke ,2002 Mercury Grand Marquis Sedan LS Premium 4dr Sedan (4.6L 8cyl 4A),Seat Belt Problem," I like the car in every way. It gets 19 mpg city/hwy. One can only sit on 3/4 of the front seats as the seat belt receptor is solid and sticks up through the seat. It can not be moved. Without that seat belt reception problem, one could sit in the middle of the seat and get support on the right side of the cushion. As it is one sits on the left side support and middle of seat: extremely uncomfortable. It would be ok for a small person, i.e., 100 pounds or less could sit in middle.",3.875
