,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 11/07/17 07:56 AM (PST),James Landi ,2007 Cadillac XLR-V Convertible 2dr Convertible (4.4L 8cyl S/C 6A),An incomparable  luxury roadster," It's hard for me not to take second, third and fourth looks at my Infra-red 2007 XLR when it's parked. It looks like no other car-- unique from every angle-- a true work of automotive art that was hand built by G.M in their Corvette plant.  This is a sports car that will provide you with the finest,  most quiet, and most comfortable ride on virtually every road surface.  Driven sensibly, it will give you 25 miles to a gallon of gas.  For its time, the electronics were top of the line, but alas, it does not have blue tooth or an audio input into the sound system.  My wife and I selected to purchase ""On _Star and activate the XM.  Aside from having a failsafe navigation system in the car with the cd map, the On Star provides you with audio directions through the Boise sound system  Additionally, each month you receive a mechanical report on the state of your car's many systems--- so you are confident about the car's operation.  The used car values for XLR are relatively steep,  but if you find one with low mileage that has had the benefit of a mature driver you'll be very please with the purchase.  It's the most fun you'll ever have in a car!",5
1, on 04/26/08 11:33 AM (PDT),John Cutsey ,2007 Cadillac XLR-V Convertible 2dr Convertible (4.4L 8cyl S/C 6A),Awsome Machine," As stated in my review above it has been the most exciting car that I have ever drove. I have had BMW's, Mercedes sl500 amg package, Jaquar XJR supercharged and nothing compares to not only the exciting drive, but all the looks you get from every age group 8 and 10 year olds through 75 to 85 year olds.",5
2, on 01/18/08 20:41 PM (PST),2007 XLR-V CA ,2007 Cadillac XLR-V Convertible 2dr Convertible (4.4L 8cyl S/C 6A),2007 Cadillac XLR-V, I had this car for about a year. I have had absolutely no problems at all. The quality is outstanding. The power and responsiveness are awesome. A very drive-able vehicle whether in city/freeway traffic or on long weekend excursions. A great machine to drive! ,5
3, on 02/19/07 16:51 PM (PST),sunidhi ,2007 Cadillac XLR-V Convertible 2dr Convertible (4.4L 8cyl S/C 6A),The 2007 Cadillac XLR-V, I think that this car is really well built.  I had a really fun time driving this car. I hope that other people buy this car and have just as much as fun as I did.,4.5
4, on 12/07/06 11:26 AM (PST),2007 Cadillac XLR-V ,2007 Cadillac XLR-V Convertible 2dr Convertible (4.4L 8cyl S/C 6A),Fast, I like fast cars and this one is just great. It is fast and very reliable. It rides really smoothly and you hardly hit any bumps.,4.75
5, on 10/17/06 14:06 PM (PDT),AL ,2007 Cadillac XLR-V Convertible 2dr Convertible (4.4L 8cyl S/C 6A),Love It," I just wanted something different than my BMW convertible that I have driven since 1977.  I love this car.  It is a thrilling experience to drive.  No, it does not handle like my BMW but it is a nice change.  I will get snow tires and hope that it will take me safely in the winter months ahead. I call it ""My Batmobile"" it reminds me of Batman's car.  It is a beautiful change for me and my husband.  If you are looking for an automobile with fuel economy--this is not the one for you.  All and all I just love it.",4.75
6, on 10/12/06 17:50 PM (PDT),goglobal ,2007 Cadillac XLR-V Convertible 2dr Convertible (4.4L 8cyl S/C 6A),XLR-V is awesome, This car is fantastic.  I would highly recommend it.  It provides a fantastic balance of performance and luxury.,5
7, on 10/09/06 11:34 AM (PDT),Bob K ,2007 Cadillac XLR-V Convertible 2dr Convertible (4.4L 8cyl S/C 6A),Much Better Than Expected," Finally, a car that is as good or better than a Mercedes. The XLR-V is a gentleman's sports car.  It flies and handles great. At the club we get positive nods at the door, people are really impressed after a ride.",5
8, on 08/26/06 18:56 PM (PDT),Laura ,2007 Cadillac XLR-V Convertible 2dr Convertible (4.4L 8cyl S/C 6A),What a Thrill Ride!, I have had my XLR-V for three months.  The only way to describe it is a Corvette with all the extras of a luxury Cadillac. ,4.875
9, on 12/06/17 12:24 PM (PST),MJL ,2009 Cadillac XLR-V Convertible 2dr Convertible (4.4L 8cyl S/C 6A),Claasic Cadillac Sports Car," The car is pretty advanced for being 9 years old.  Nav and entertainment are just fine.  No USB.  It's the Corvette in a tuxedo!  It has 30,000 miles with no issues thus far.",5
