,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 11/19/17 04:58 AM (PST),Colleen ,1999 Jeep Cherokee SUV Classic 4dr SUV 4WD,Crossing My Fingers," So, I just bought my first used car.  It's a 1999 Jeep Cherokee.  I've read Kelley's Blue Book, and the price was right on target.  It has 179,000 miles on it.  Jeep owners tell me it will still go on and on.  I've also read most of these reviews, and they all seem very positive. .The man who sold it told me it just needs a muffler; it is a bit loud.  Other than that, it rode well.  One owner.  It's my first Jeep, so I'm keeping my fingers crossed.  I'll be very happy if I can get at least a year out of it and, hopefully, not spend too much money on it for repairs.  But time will tell.",4
1, on 11/10/15 09:46 AM (PST),Dunn ,1999 Jeep Cherokee SUV Sport 4dr SUV,awesome vehicle," We bought this 99 cherokee inline 6 back in 2004 with 70,000 miles.  Over the years the biggest repair that was needed was the rear main seal replacement at 280,000 miles.  Other than that it has been the usual replacement of parts that will eventually wear out with time. The engine has never been stripped down to do an overhaul or replace anything, besides spark plugs and the like.  Now at 305,000 miles the engine still sounds the same from when we bought it. The mpg reads 15 but i tested this and found that it is getting 21 in the city. Awesome. Oil change every 3000 miles and other regular maintenance and I believe this engine will go to 400,000 without an overhaul.  People complain about the ride being crappy which is correct, but then you don't buy a jeep for comfort.  This vehicle is a true utility truck. And it actually handles quite well in the city.  Jeep designed a great truck with the cherokee and plan on keeping this going for as long as I can. Eventually will restore this back to factory look and feel.",5
2, on 10/04/15 23:35 PM (PDT),Tony ,1999 Jeep Cherokee SUV SE 2dr SUV,Great vehicle if you can turn a wrench," I bought my Jeep kind of knowing it'd be an experience. After a year of owning it I've replaced a lot of components, but I also bought a high mileage Jeep. If you're looking into buying one it's a good purchase. It is my favorite vehicle I've owned despite being less reliable than other cars I've owned.",4
3, on 09/05/15 19:59 PM (PDT),JEREMIAH ,1999 Jeep Cherokee SUV Sport 4dr SUV 4WD,IT'S A BEAST UNSTOPPABLE TANK," I bought my jeep, 171 thousand miles on it, no oil leaks or anything interior is great small areas the ceiling liner sags, but solid engine, you start it out just a get up and go, take it off road and it's agile it's quick, I take mine out to the river bed and it just goes, I mean the power and handling is perfect, I've been in lifted chevy's and toyota 4runners my STOCK jeep practically out performs them all,My only problem is which but my jeeps fault, but for where and how I drive needs a lift in the front especially but other than that it's GREAT",5
4, on 08/21/15 18:47 PM (PDT),LuckyL1111 ,1999 Jeep Cherokee SUV Classic 4dr SUV,Longest Relationship To Date," I bought my 1999 Jeep Cherokee, 2WD, 6 cyl, automatic, 4-door from my employer in 2003. It was about to roll over to 100,000 miles, and they wanted to get rid of it. I paid $2500.00 broken into 4 payments. I continued to use it for work travel which was sometimes brutal temps and environments. Whenever I got my per-diem pay for using my Jeep, I would take her into Pep Boys, NLR, AR and give her whatever she needed. In 2015, she rolled over the 200,000 mark. The last 10 years I have cut way back on driving, and have not had the money to put into her care and maintenance, but she has always been true and faithful. The repairs have been few, and the cost of owning her has been a dream. I am recently at the point where I could buy a new car, but instead; I am going to have her completely restored. As I have had many mechanics tell me over the years, ""If it ain't broke, don't fix it."" Maybe I am too emotionally attached, but this Jeep has been everything I needed.",5
5, on 07/03/15 15:49 PM (PDT),scooterluv1 ,1999 Jeep Cherokee SUV Limited 4dr SUV,Love my Jeep!," Needed an inexpensive SUV (wanted it to American built), so I bought this Cherokee in late 2013 w/16500 miles on her. I've added 50000 miles since I've owned it. She gets lots of looks/positive comments and at least once every couple of months someone asks to buy it. Overall, it's a great SUV.  ",4
6, on 08/29/14 21:39 PM (PDT),laneoc97 ,1999 Jeep Cherokee SUV Classic 4dr SUV,Definitely Won't be in The Market for Another Jeep," This car was a hand me down from my aunt. She and my uncle take very good care of their cars, so don't give me the whole ""you must not have taken care of it"" thing. This car has been nothing but problems. Endless electrical problems is the first issue. In less than a year that I've had this car, the automatic door locks, cruise control, trunk light, horn, airbag, and the windows have all stopped working. I've had several mechanic friends check all of the fuses and everything and they are all completely fine. I haven't taken it in yet cause I can't afford the huge costs. On top of all of that it has completely broken down twice AGAIN in just a year of having it. All in all just a huge pain. ",2.25
7, on 04/15/14 17:19 PM (PDT),pkelly502 ,1999 Jeep Cherokee SUV Limited 4dr SUV 4WD,An old work horse," Let me just start off by saying I love my JEEP! And there is no denying it this baby is a Jeep. Some people think the only real Jeeps are Wranglers but that's not the case, this bad boy even stock has the capability to do some pretty amazing things off road. The best part about this jeep is that while being able to take it for a fun weekend camping or 4x4ing is nice and easy its also a great car to drive on the road,in the city or on the highway. I have a 99 cherokee sport in automatic (not listed on this site if im not mistaken) and she has over 230,000 miles with nearly no major repairs aside from a starter and a new ac pump. And of course some body damage fixes but that' my fault not hers",4.875
8, on 01/18/13 18:15 PM (PST),buttered ,1999 Jeep Cherokee SUV Sport 4dr SUV 4WD,Amazing car," I bought this car from my uncle at 127,000 miles. This thing is a beast. iv driven it to 182,000 miles and iv only had 2 problems. i had to replace the water pump and the rear O2 sensor. both cheap to buy and relatively easy to repair you self. i have never had a starting problem, well when its -30 out side in the morning she doesn't want to start, but she always starts. and people who complain about the drivetrain i have never had a problem, probably because i changed both rear and front differential fluid along with the transfer case fluid at about 160,000 miles, AND, i regular grease the drive shafts. All of theses are very easy to do and can significantly increase the live of a jeep.",4.125
9, on 11/28/12 10:18 AM (PST),rickd9 ,1999 Jeep Cherokee SUV Sport 4dr SUV,HORRIBLE vehicle: DO NOT BUY," This is the worst vehicle on the planet.Constant ""Death Wobble"" issues.Poorly designed.Aggravating Crank Position Sensor issues arise throughout the year (engine will not get spark causing no-start issues).",1
10, on 09/26/12 20:40 PM (PDT),colorado14r ,1999 Jeep Cherokee SUV Sport 2dr SUV 4WD,1999 Jeep Cherokee Sport 3DR," After buying my 1999 Jeep Cherokee Sport 3DR new, I proceeded to log over 168k miles in it until 2012. No power windows, roof rack or fancy bells or whistles. I just sold it last month. Most of my milage was city/hwy driving. I averaged 17/22 MPG. Not too bad with an air conditioner. The off roading in the snow was as impressive as a Jeep commercial can leagaly put on the TV. My service record shows normal maintenance. I needed to replace the clutch at around 90K and the air conditioner was replaced at 120k. The only real problem was a clutch sensor that kept burnig out 15A fuses in the fuse box. The sensor was replaced and it ran well ever since. I liked it so much I purchsed another Jeep.",4.375
11, on 07/19/12 22:28 PM (PDT),yz250r ,1999 Jeep Cherokee SUV Limited 4dr SUV,NEVER," I AM NOT SATISFIDE! This jeep was good for about 4 months mialige 118,000 to curently 123,000 miles. Resently I`v had some major scairs. The engine on and off shakes the car. I can tell because normaly it would be a smoother feeling. At about 20 to 40 mph the car will leack forwars vilontly and will not produce power for 10 to 25 seconds.DO NOT GET THIS CAR!!!!!!!!!!!!",2.5
12, on 02/24/11 10:02 AM (PST),carguy03 ,1999 Jeep Cherokee SUV Classic 4dr SUV 4WD,1999 Jeep Cherokee Sport," I had a 1999 Jeep Cherokee Sport. This Jeep had the 4.0L I-6 with a 4 speed automatic transmission. It was a very good vehicle for the West Virginia winters, my driveway is just over 2,000 ft up a hill, and it never failed to make it all the way to the top. I liked the vehicle, but it didn't have enough room. I would reccomend it to any of my friends.",3.625
