,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 04/08/10 13:10 PM (PDT),Keair ,2008 Suzuki Reno Hatchback 4dr Hatchback w/Convenience Package (2.0L 4cyl 4A),My '08 Reno," I just bought my '08 Reno a few days ago, and so far I'm very impressed with its performance and ride quality. MPG aren't too bad, but they could be a little better. For about 20-25 dollars you could expect to ride for a pretty good bit on a full tank. That's pretty good compared to a much bigger vehicle. My roommate has a minivan, and that take anywhere from thirty to forty dollars to fill up, and gas doesn't last half as long as it does in mine. I'm 24, and this is my very first vehicle, and so far I'm very happy, and well satisfied with my purchase.",4.625
1, on 02/04/10 02:21 AM (PST),Tony ,2008 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),Great Buy," I bought this '08 Reno with 2,400 miles on it. It's my ride from home to work and back. This is the first small car that I have ever owned. I traded in my '98 Lumina (168k miles)and $5400 cash and drove it off the lot. So many of the reviews have been less than complimentary, but as an owner, I think this is a great little car. 3 year/36k mile bumper to bumper, a 100k powertrain warranty, and 24 hour roadside assistance. I don't like the fact there aren't many dealerships around for service concerns, but I have only had one issue with the airbag light staying on all the time. Remember that you get what you pay for. I bought a 4-cylinder automatic. I don't expect to keep up with a Vette!",3.75
2, on 09/02/09 14:37 PM (PDT),rc ,2008 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),fun small car," We bought this car with a sonata in mind but the price point was to much to pass up.  Its peppy and quick for such a small engine. Plan to put on wheels, Cruise, tint and keyless with an alarm.  Love it get lots of second looks in the parking lots.  Put on a coat of turtle wax ice and it looks great. Only problem was pass seat airbag light but was resolved in one visit. 12k out the door cash and we are really happy with it! Lots of room for a small car and with some things like new wheels and tires maybe springs it will handle even better. Also try a k&n airfilter it will bump up the hp and gas mileage! Had a Suzuki motorcycle and this lives up to the name!",4.625
3, on 05/30/08 23:13 PM (PDT),rye ,2008 Suzuki Reno Hatchback 4dr Hatchback w/Convenience Package (2.0L 4cyl 5M),Practical with a small kick, I drive 90 miles a day and I get from 420 miles to 380 miles on a full tank of gas so the mileage is alright. Needs cruise but hey it's a good price on a car that get me to were I gotta go ,4
4, on 05/26/08 14:58 PM (PDT),Don ,2008 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 5M),Better than experts say it is, I just purchased this vehicle but thought it odd there were no reviews from users on this vehicle (expert reviews are unkind). It truly is a bargain and drove every bit as well as a Ford Focus. Yes it is basic but for $240 a month for 60 months and 0 down how can you go wrong especially with the warranty this manufacturer offers. We all are facing some realities with gas prices escalating and while the given mileage specs aren't overly impressive most people are getting better than posted mileage. The interior is very nice a pleasent surprise This is the first time I have considered a compact car and I will be ok with this. I didn't feel silly in it and the Suzuki moniker adds intrigue,4.25
5, on 03/29/08 22:22 PM (PDT),vickid ,2008 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),Cool little car," Good car for the price with a good warranty. Comfortable, good looking. Lots of base price features. It's zippy, quiet, and rides well. ",4.375
6, on 06/07/18 15:45 PM (PDT),Dan ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 5M),Garbage, I would’ve given it all 1 star but I’m an honest man.... headlights are garbage they just love to short out.....  transmission is garbage no dipstick maintenance free and the mechanics can’t give me a transmission flush because it takes a special square tool to get the access port  that they didn’t have and Autozone and advanced auto didn’t sell it either online it was 49 dollars. Transmission skips like crazy and is a safety hazard.... Visibility is poor out the front but horrible in the back.... listen this car is garbage the bad out weighs the good,2
7, on 08/07/16 07:16 AM (PDT),Shauna ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 5M),2006 Suzuki Reno," I got an '06 Reno in October of '15. It had 51k miles. I was surprised to find that this vehicle did not have cruise control, as many older vehicles (different make) do. The mpgs are not very good, even when using high octane fuel and keeping maintenance regular (correct air pressure in tires, clean air filter, oil changes ever 3k miles). I've already had to replace the head gasket in the engine. Come to find out there was an air bag/warranty issue for Renos, that effect/affect mine, according to the VIN. Not sure if it was the best choice, but I needed a car. It's still good, just think that an '06 vehicle, regardless of who it's from, should have cruise control. According to good 'ol Google, '06 Renos get 20 city and 28 highway.",3
8, on 12/03/15 20:01 PM (PST),Sansaloo ,2006 Suzuki Reno Hatchback Convenience 4dr Hatchback (2.0L 4cyl 4A),Worst mistake of my life," Bought this car and an emergency car in January 2014 after I totaled my last car. Car was great for 5 months when the check engine came on. Turns out it was the throttle body,  which was no longer made. Dealt with it for another year and few months before everything started going wrong. Lower control arms needed replaced, quickly followed by having to replace the entire shifter assembly.  Both front and rear struts need replaced, including the mounting and stabilizers. Rack and pinions are starting to leak, has to replace a oil gasket, and now the throttle position sensor is shot. Only a dealer can calibrate a new one, and you have to replace the whole throttle body, not just the sensor. Only 69100 miles on this car, it shouldn't have all these issues!",2
9, on 12/13/13 15:00 PM (PST),aaron98762001 ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),I dont get it," I've been reading reviews and not one was good. My reno will fly, i read one that said it had trouble keeping up in traffic. To be a 2.0 this car is fast, i believe very dependable. I've had no trouble,it's a little rough on gas. But alot better than my 6 cylinder.",4.625
