,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 07/31/10 20:43 PM (PDT),Aldo ,2006 Chrysler Crossfire Convertible Limited 2dr Convertible (3.2L 6cyl 6M),She is 100% Merc & Chrysler in name only," She & i say She, is a Peregrine Falcon. On the highway, all other cars for her are pigeons,  with the exception of a few eagles. She is 100% pure German Mercedes, with with nothing of Chrysler in her, except the name. For those that don't believe, lift her hood & check out the 12 spark plugs on her 6 cylinder engine. And what a fine engine she has! It pulls like a turbine fed small locomotive, just like her 8 cylinder big brothers! Love her!     ",5
1, on 12/22/09 22:05 PM (PST),george bobella jr. ,2006 Chrysler Crossfire Convertible Limited 2dr Convertible (3.2L 6cyl 6M),Great Bang for Buck," This was wife's car became mine. She's gone. Love being in this machine. A real headturner, get's a lot of attention. The cupholder does work once you get used to it. Yes, the Console isn't a high point, yet you can upgrade to almost any material ie wood. Legroom is short and I'm maybe 5'10"". Still it's seats are good for a roadster. Put aftermarket Chip in and yes it was quicker but electric fan always stayed on. Took it out. Don't miss the little extra HP. Drove SLK 320 liked Crossfire better cause it looks better yet could not find extra price value with the MB. Ex wants car back. Would like to buy it. NO WAY MAN",4.75
2, on 12/22/09 11:29 AM (PST),bigdaddy0345 ,2006 Chrysler Crossfire Convertible Limited 2dr Convertible (3.2L 6cyl 6M),poor service," I have had this car for awhile and have no problems till I brought it in for service. Had the oil changed and now I have a leak. Twice in about the leak and they said no leak, till I gave them the paper with oil on it. The car is great, but the service stinks. Don't trust corporate, they will avoid fault. I think I will stay with a Hyundai",3.5
3, on 05/22/09 14:39 PM (PDT),glmiller ,2006 Chrysler Crossfire Convertible Limited 2dr Convertible (3.2L 6cyl 6M),What a Car!," The car is fun to drive.  The power for such a sample car is unbelievable.  The gas mileage is reasonable and the craftsmanship is outstanding. Some of the problems is that it only has one cup holder in the cabin.  Also when getting the oil changed, if you don't do it yourself, be ready for a shock.  The filter is $31.00.  The engine takes 8.5 quarts of 0 W 40 which is not cheap.  So the total cost for a change will run between $110 to $120.  But the enjoyment of the car is well worth the price. ",5
4, on 10/18/08 10:07 AM (PDT),ShirazRoadster ,2006 Chrysler Crossfire Convertible 2dr Convertible (3.2L 6cyl 6M),Beautiful Styling & a Great Ride," Bought the car last summer on a whim, $14k off the sticker price helps, right? The car is great once you get it out of first gear (they should have combined 1st and 2nd, you have to shift too quickly), has styling that gets a ""Nice car!"" at least once a day, and has gas mileage that is much better than I was expecting of around 22-24 mpg. ",4.625
5, on 06/12/08 20:39 PM (PDT),prof ,2006 Chrysler Crossfire Convertible Limited 2dr Convertible (3.2L 6cyl 6M),Fun and Lux Drive," Excellent; comfort, fit, finish, and performance. Very cool looking and 21- 25 MPG. Solid car.",5
6, on 05/05/08 11:07 AM (PDT),Lee11800 ,2006 Chrysler Crossfire Convertible Limited 2dr Convertible (3.2L 6cyl 6M),Crossfire Roadster," Was looking for a two seater sports car and considered Z-4, Miata, and similar cars.  In my opinion, Crossfire is by far more top tend than Miata, cooler then Z-4 and others.  I drive this car to work, 24 miles a day, and love it.  Head turner for sure, glued to the road, great average full economy of 24 mpg, and drives like it looks.  Great value.",4.875
7, on 02/06/08 11:14 AM (PST),Senior Citizen ,2006 Chrysler Crossfire Convertible 2dr Convertible (3.2L 6cyl 6M),Sweet Ride," I've had this blaze red baby for 8 months now, and I can't wait for the warm weather to come back so that I can drop the top again!  This car is the most fun to drive vehicle I've ever owned!  It turns heads everywhere I go.  Great craftsmanship and handling. I hate to see Chrysler stop building them.",4.875
8, on 09/26/07 19:55 PM (PDT),Larry ,2006 Chrysler Crossfire Convertible Limited 2dr Convertible (3.2L 6cyl 6M),Crossfire Limited Convertible," Purchased Spring, 2007 for daughter. This car has it all; looks, ride, power and safety features. For the price, we could not find a similar convertible with all these features.  The dealer incentive was the selling point.  We are pleased with the gas mileage, upper 20's on the highway and lower 20's in city. The only negative point has been a small water leak near the top and drive window. Expect to get this repaired easily.",5
9, on 08/18/07 20:22 PM (PDT),Shagfire ,2006 Chrysler Crossfire Convertible Limited 2dr Convertible (3.2L 6cyl 6M),Awesome!," I've only had the car a couple of weeks, but it is a blast to drive! It gets a lot of looks from passersby. This car comes highly recommended by all agents in the car industry that we have spoken to. I look forward to many years of driving this sweet little beauty.",5
10, on 06/18/18 15:44 PM (PDT),Clyde Bailey ,2006 Chrysler Crossfire Coupe 2dr Coupe (3.2L 6cyl 6M),sporty vehicle but with problems," This model car has a history of electrical problems, and mine is no exception. I've spent over $4000 trying to solve one problem that it still has--it frequently won't start on the first try--turn the key and you get nothing--no lights, no sounds, no start. I've replaced every item in the starting system without changing the no-start situation. Hot/cold weather, long-term parking, frequent use, all have no effect on the starting problem. I've discovered that when it won't start (about one time in a half-dozen attempts), pumping the clutch 2-3 times usually solves the problem. Twice I've gone outside and found the flashers working on the left side of the car without being turned on. Had to disconnect the battery.",3
11, on 05/16/08 21:04 PM (PDT),shypoke ,2006 Chrysler Crossfire Coupe 2dr Coupe (3.2L 6cyl 6M),2006 Crossfire, Excellent car for a two seater.  Get a seat cushion for long trips if your back end is bony like mine. Use high-heel gel pads for your elbows (at the obvious places).  I looked at lots of this type of car... wouldn't have anything else.,4.5
