,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 03/17/11 17:53 PM (PDT),fantastic1 ,2010 HUMMER H3T Crew Cab Luxury 4dr Crew Cab 4WD SB (3.7L 5cyl 4A),Good Quality.," I have owned several pickups so far and believe this H3T is the best vehicle I have ever driven/owned.Outside looks are unique, build quality is superior to my 09 Tacoma or full size Dodge. I'm 6'6"", 274 and like to hike, kayak, camp, explore and hunt. The H3T has more room than the fullsize and better built than any smaller truck including the toyota. The H3T is a mid size, can tow enough and is comfortable for me.With 20,000 miles on it, I intend on keeping this vehicle for the next 15-20 years. With taller narrow tires and driving speed limit, I get 20 city mpg and 24 highway. Wish GM still built these but with a 5cyl diesel in it. GM bring it back please!!",4.75
1, on 02/21/17 11:48 AM (PST),Doug Sturdivant ,2009 HUMMER H3T Crew Cab Alpha 4dr Crew Cab 4WD SB (5.3L 8cyl 4A),Soon to be a Classic," This is my second Hummer. I previously had an '08 H3 and loved it but always wanted the 'T'. Being a limited production vehicle, I finally found one I could afford as the resale prices have started to rise. Like the one before, this also is an Alpha. Same color, Solar Flair. The smoothness and power of the V8 far outweighs anything you give back on fuel mileage. I've driven an I-5 equipped H3T and there's really no comparison. The size of the cargo bed is quite handy and really not an issue as I didn't purchase it for hauling large loads. That's not it's forte. Driving it does take some getting use though because the average truck has for more square feet of glass to look out of but when you get acclimated to the interior it's quite comfortable and the setting sun, because of the short overhang of the windscreen, is never an issue.  It could use more storage space and cup holders for the rear seat area. I do remember there was an insert available on my H3 for the back seat that had a cup holder in it. Don't know why that wasn't offered as standard equipment. Overall, I truly enjoy driving the truck. Chances are you'll never see another one at a stoplight. And just like the first series early Bronco's, these will only increase in value.",5
2, on 09/12/10 00:00 AM (PDT),My Tonka Truck ,2009 HUMMER H3T Crew Cab 4dr Crew Cab 4WD SB (3.7L 5cyl 5M),built solid, recently bumped on side of truck by female driving a matrix. damage to matrix- front bumper completely pulled off of car.  damage to hummer h3t- nothing that a little rubbing compound could'nt remove completely. i could'nt believe it. i wish i would have taken a picture of the other car.,4.625
3, on 05/07/10 05:00 AM (PDT),JMSBYS ,2009 HUMMER H3T Crew Cab Alpha 4dr Crew Cab 4WD SB (5.3L 8cyl 4A),MY  H3T ," This truck is a real head turner. First of all there are very few on the road so people ask all the time about it. Has as much room as my last pickup, the Dodge Ram, but is built much stronger and more torque. I love my new truck.",4.625
4, on 04/09/10 19:05 PM (PDT),Dennis ,2009 HUMMER H3T Crew Cab Alpha 4dr Crew Cab 4WD SB (5.3L 8cyl 4A),Man Truck of the Year!," Just bought it, but from what I've experienced so far, there is not another truck in it's class on the planet that can even come close. The power, maneuverability, and rugged good looks commands excitement and frankly titillates both men and women alike. ",4.25
5, on 01/15/10 03:55 AM (PST),Puffytails ,2009 HUMMER H3T Crew Cab Alpha 4dr Crew Cab 4WD SB (5.3L 8cyl 4A),HUMMER TOUGH," I have owned my H3T Alpha since the end of August.  I have 2,659 miles on it.  This truck is very nice to drive however slightly uncomfortable for long drives as the driver's side leg room is awkward.  I find myself adjusting every 5 minutes.  The sound system is pretty good however my H2 has a Bose system that definitely sounds a ton better.  Speaking of which my H2's seats are like a Lazy Boy Recliner where as the H3T seats are not as cushy more firm not as wide.  The truck does drive very comfortably and handles extremely well in the snow.  My biggest gripe is that the EPA window sticker states 13 mpg  city 16 mpg highway.  At best I have gotten just under 13, and I drive mostly highway",4.25
6, on 07/07/09 13:29 PM (PDT),Jonesy ,2009 HUMMER H3T Crew Cab 4dr Crew Cab 4WD SB (3.7L 5cyl 5M),"So far, big fan..."," Purchased my 2009 H3t about 2 weeks ago. It's my first truck and I was a little worried going from a sports car (Nissan 350z) to this, but so far I love it. Mine is black,the dealership threw on black Hummer rims, and this truck in black on black looks awesome. Not fast by any means, but thus far I'm getting about 420 miles on a tank with the i5 which is fine with me. Didn't get it to work on a farm or anything hardcore, but for running around the desert trails out here in Arizona it has been great.",4.625
7, on 04/03/09 18:34 PM (PDT),TransmitterDoc ,2009 HUMMER H3T Crew Cab 4dr Crew Cab 4WD SB (3.7L 5cyl 5M),Great truck for my job!," The nature of my work requires me to get to remote transmitter sites regardless of weather conditions.  The H3T manages the winter weather with ease, and has no problem with rough terrain.  The truck rides well and is comfortable.  ",4.875
8, on 02/16/09 11:00 AM (PST),Joy ,2009 HUMMER H3T Crew Cab Alpha 4dr Crew Cab 4WD SB (5.3L 8cyl 4A),Excellence On and Off Road," This is the best off road vehicle I have ever driven! Drove them all. Great ride over rock, up rock and through the creeks. No stopping this one",5
9, on 02/10/09 17:30 PM (PST),mailman2000 ,2009 HUMMER H3T Crew Cab 4dr Crew Cab 4WD SB (3.7L 5cyl 5M),last GM product," worst piece of junk. I left on vacation on 1/31 transmission burned up with 1,800 miles on it the truck is still at the dealership in colorado being repaired i'm in Dallas and GM says'it's your problem getting it back to Texas.",2.5
