,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 05/27/03 00:00 AM (PDT),Timothy_H ,2002 Rolls-Royce Park Ward Sedan 4dr Sedan (5.4L 12cyl 5A),Rolls vs. Benyley," This is a better bet than any Bently, Bimmer or MBZ or any othe car on the planet. This is much nicer and more comfortable that my old Azure or myFerrari 360 moddena. If you have the money buy nothing but the best the Rolls Royce. ",4.125
1, on 03/28/08 13:45 PM (PDT),ron davi ,2008 Rolls-Royce Phantom Sedan EWB 4dr Sedan (6.7L 12cyl 6A),magnificent," The workmanship and actual ride itself is impeccable.  If you appreciate atttention to detail, you will admire all aspects of the automobile.  It is also very quitely responsive and powerful.  Everything you would hope for in a rolls.",4.875
2, on 04/21/06 00:43 AM (PDT),Bimmer Boy ,2006 Rolls-Royce Phantom Sedan Base 4dr Sedan (6.7L 12cyl 6A),Luxury Can't Get Any Better," I love this car. I'm usually not into big cars, in fact I've never owned a car much bigger than a BMW 3-Series until this thing.  Driving it makes you feel so prestigious and good. For a big car, it turns pretty quickly and can turn pretty sharp.  It won't take the corners like a Porsche, but I've never driven anything this big that handles this well. Sit in the backseat an no one will know you're there.  There's a big piece of metal to hide your face.  Floor it all the way and you will realize that you can still have a conversation at normal volume.  There is hardly any noise in the cockpit and no vibrations at all. This car has no body roll ethier. The backseat is big enough to store a small car in.",4.75
3, on 04/19/06 07:20 AM (PDT),AP ,2006 Rolls-Royce Phantom Sedan Base 4dr Sedan (6.7L 12cyl 6A),Underated," When I entered the Rolls Royce dealership in San Francisco I just had to have it.  I took it for a spin, came back, and paid cash.  I love the looks that I get when I ride through the Bay Area.",4.875
4, on 01/11/06 11:24 AM (PST),cphillips ,2006 Rolls-Royce Phantom Sedan Base 4dr Sedan (6.7L 12cyl 6A),Refined Quality," The Rolls-Royce Phantom exceeded my high expectations.  If given the opportunity, go drive this phenom at your nearist dealer.  Not only are you buying the car, you are buying the dealership.",4.875
5, on 12/18/05 20:00 PM (PST),Aqiureror ,2006 Rolls-Royce Phantom Sedan Base 4dr Sedan (6.7L 12cyl 6A),The Great Car," Upon test driving the Rolls Royce Phantom, I must say it has remarkably better handling than the Maybach 57. The car is nimble and responsive, although power is subdued for enhanced comfort. The greatest phenomenon upon my short drive is the remarkable handling of the car; the chassis mitigates its weight and bulk, providing the driver and the passengers with remarkable comfort and little body roll even in fast sharp corners. Upon intense acceleration and at high speeds, there is absolutely no noise in the cockpit and absolutely no vibration. The lack of vibration is thanks to a remarkable dual floor system, so the floor is not connected to the chassis. This is a great car.",3.5
6, on 11/21/05 06:03 AM (PST),Acquirer ,2006 Rolls-Royce Phantom Sedan Base 4dr Sedan (6.7L 12cyl 6A),First Test Drive - Not Yet Acquired," Upon test driving the Rolls Royce Phantom, I must say it has remarkably better handling than the Maybach 57.  The car is nimble and responsive, although power is subdued for enhanced comfort.  The greatest phenomenon upon my short drive is the remarkable handling of the car; the chassis mitigates its weight and bulk, providing the driver and the passengers with remarkable comfort and little body roll even in fast sharp corners.  Upon intense acceleration and at high speeds, there is absolutely no noise in the cockpit and absolutely no vibration.  The lack of vibration is thanks to a remarkable dual floor system, so the floor is not connected to the chassis.  This is a great car.",4.625
7, on 02/24/14 08:04 AM (PST),bjmcal ,2004 Rolls-Royce Phantom Sedan Base 4dr Sedan (6.7L 12cyl 6A),worst car i have ever owned," I have spent appx $85000 on repairs on this car not to mention $16,000 while it was still under warranty, I only have 52,000 miles on it. I have replaced the floor mats once because they turned green and they are green again and ripped and torn. The rear view mirror is turning black and will have to be replaced soon. The leather seats look like I have put 200,000 miles on them and are all cracked and wrinkled. The hydraulics to hold the hood up are shot and most of the repairs have been electrical and oil leaks. I have had to replace the shocks 3 times and air bags. I rarely drive it over 40 miles per hour with an occasional trip on the freeway. Rolls Royce does nothing and customer service sucks.",1
8, on 04/11/07 19:04 PM (PDT),Carlos Marrero ,2004 Rolls-Royce Phantom Sedan Base 4dr Sedan (6.7L 12cyl 6A),Just Awesome!," When I finally reached the point in my life last year that I could afford one of these monsters, I jumped at the chance. This is by far and away the finest sedan I have ever owned and I have had several(S600,750il,S55 to name a few)The Phantom is an order of magnitude better. The main thing that I still can't get over is the level of comfort that Rolls has achieved with this car. On a recent road trip to Miami, I practically fell asleep driving down 95s in the middle of the day. The leather is just remarkable,as is the woodwork. While not as fast as the V-12 Germans, the car weighs 1000lbs more than the S600 and 760li. This car really hustles regardless of the extra pounds. I love it!",4.625
9, on 07/11/06 02:26 AM (PDT),NPW ,2004 Rolls-Royce Phantom Sedan Base 4dr Sedan (6.7L 12cyl 6A),Fabulous, Simply the very best automobile I have ever driven or owned.  The comfort and ease of driving is fabulous.,4.875
